ac_type,ac_type_clasif1,ac_type_clasif2
Lockheed C-130HF,Avión militar,Avión
Lockheed C-130J Hercules,Avión militar,Avión
Lockheed C-130K Hercules,Avión militar,Avión
Lockheed C-141A,Avión militar,Avión
Lockheed C-141A (L.300),Avión militar,Avión
Lockheed C-141B,Avión militar,Avión
Lockheed C-141B / Lockheed C141B,Avión militar,Avión
Lockheed C-28,Avión militar,Avión
Lockheed C-56B Lodestar,Avión militar,Avión
Lockheed C-5A,Avión militar,Avión
Lockheed C-5A Galaxy,Avión militar,Avión
Lockheed C-60 Lodestar,Avión militar,Avión
Lockheed C-69 Constellation,Avión militar,Avión
Lockheed C121J,Avión militar,Avión
Lockheed C130-B Hercules,Avión militar,Avión
Lockheed C130B,Avión militar,Avión
Lockheed C130D,Avión militar,Avión
Lockheed CC-130E,Avión militar,Avión
Lockheed EC-121H,Avión militar,Avión
Lockheed EC-121M,Avión militar,Avión
Lockheed EC-121P,Avión militar,Avión
Lockheed EC-130E Hercules,Avión militar,Avión
Lockheed EC-130Q,Avión militar,Avión
Lockheed HC-130H Hercules,Avión militar,Avión
Lockheed HC-130P Hercules,Avión militar,Avión
Lockheed Hercules C-130,Avión militar,Avión
Lockheed Hercules C.1,Avión militar,Avión
Lockheed Hercules KC-130R,Avión militar,Avión
Lockheed Hercules MC-130H,Avión militar,Avión
Lockheed Hudson,Avión militar,Avión
Lockheed Hudson A16-97,Avión militar,Avión
Lockheed Hudson IIIA,Avión militar,Avión
Lockheed Hudson VI,Avión militar,Avión
Lockheed KC-130F,Avión militar,Avión
Lockheed KC-130T Hercules,Avión comercial de pasajeros,Avión
Lockheed L 1049G Super Constillation,Avión comercial de pasajeros,Avión
Lockheed L- 749A Constellation,Avión comercial de pasajeros,Avión
Lockheed L-049 Constellation,Avión comercial de pasajeros,Avión
Lockheed L-049-46 Constellation,Avión comercial de pasajeros,Avión
Lockheed L-049-46-26 Constellation,Avión militar,Avión
Lockheed L-100 Hercules,Avión militar,Avión
Lockheed L-100-20 Hercules,Avión militar,Avión
Lockheed L-100-30 Hercules,Avión comercial de pasajeros,Avión
Lockheed L-1011,Avión comercial de pasajeros,Avión
Lockheed L-1011 TriStar 1,Avión comercial de pasajeros,Avión
Lockheed L-1011-1 TriStar,Avión comercial de pasajeros,Avión
Lockheed L-1011-100,Avión comercial de pasajeros,Avión
Lockheed L-1011-200,Avión comercial de pasajeros,Avión
Lockheed L-1049H Super Constellation,Avión comercial de pasajeros,Avión
Lockheed L-1649A Starliner,Avión de transporte y pasajeros,Avión
Lockheed L-18-56 Lodestar,Avión de transporte y pasajeros,Avión
Lockheed L-188A Electra,Avión de transporte y pasajeros,Avión
Lockheed L-188AF Electra,Avión de transporte y pasajeros,Avión
Lockheed L-188C Electra,Avión de transporte y pasajeros,Avión
Lockheed L-188CF Electra,Avión militar,Avión
Lockheed L-382B Hercules,Avión militar,Avión
Lockheed L-414 Hudson,Avión comercial de pasajeros,Avión
Lockheed L-649 Constellation,Avión comercial de pasajeros,Avión
Lockheed L-749 / Cessna 140,Avión comercial de pasajeros,Avión
Lockheed L-749-79-33 Constellation,Avión comercial de pasajeros,Avión
Lockheed L-749A Constellation,Avión comercial de pasajeros,Avión
Lockheed L-749A-79 Constellation,Avión de transporte y pasajeros,Avión
Lockheed L188A Electra,Avión militar,Avión
Lockheed MC-130E-Y,Avión militar,Avión
Lockheed MC-130H Hercules,Avión militar,Avión
Lockheed Martin L-100-10,Avión militar,Avión
Lockheed Martin L-100-30 Hercules,Avión de transporte y pasajeros,Avión
Lockheed Orion,Avión de transporte y pasajeros,Avión
Lockheed Orion 9,Avión de transporte y pasajeros,Avión
Lockheed Orion 9D,Avión de transporte y pasajeros,Avión
Lockheed Orion 9E Explorer float plane,Avión militar,Avión
Lockheed P-2E Neptune,Avión de patrulla marítima,Avión
Lockheed P-3A,Avión de patrulla marítima,Avión
Lockheed P-3A Orion,Avión de patrulla marítima,Avión
Lockheed P-3B Orion,Avión de patrulla marítima,Avión
Lockheed P-3C / Convair CV-990-30A-5,Avión de patrulla marítima,Avión
Lockheed P-3C / Lockheed P-3C,Avión militar,Avión
Lockheed P2V-7,Avión militar,Avión
Lockheed R7V-1,Avión comercial de pasajeros,Avión
Lockheed Super Constellation,Avión de transporte y pasajeros,Avión
Lockheed Vega,Avión de transporte y pasajeros,Avión
Lockheed Vega 2,Avión de transporte y pasajeros,Avión
Lockheed Vega 5,Avión de transporte y pasajeros,Avión
Lockheed Vega 5B,Avión de transporte y pasajeros,Avión
Lockheed Vega 5C,Avión de patrulla marítima,Avión
Lockheed WV-2,Avión de patrulla marítima,Avión
Lockheed WV-2 Super Constellation,Avión de transporte y pasajeros,Avión
Loening C-2C,Avión de transporte y pasajeros,Avión
Loening C-W Air Yaht,Avión de transporte y pasajeros,Avión
M28 Skytruck,Avión comercial de pasajeros,Avión
MD DC-8-11 / Lockheed  1049 S Const,Avión comercial de pasajeros,Avión
MD Douglas DC-9-15 / Beechcraft Baron-55,Avión comercial de pasajeros,Avión
MD Douglas DC-9-31/Piper Cherokee PA-28,Avión comercial de pasajeros,Avión
MD Douglas DC-9-32 / Piper PA-28-181,Avión comercial de pasajeros,Avión
MD Douglas DC-9-32/Convair CV-990A,Avión comercial de pasajeros,Avión
MD-87 / Cessna 525A Citation II,Helicóptero militar,Helicóptero
MH-47 Chinook helicopter,Helicóptero de transporte y pasajeros,Helicóptero
MI 172 V5 helicopter,Avión de transporte y pasajeros,Avión
Macchi C-94,Avión militar,Avión
Macchi C.100,Avión comercial de pasajeros,Avión
Martin 202,Avión comercial de pasajeros,Avión
Martin 202A / DC-3,Avión comercial de pasajeros,Avión
Martin 404,Hidroavión de transporte y pasajeros,Hidroavión
Martin M-130 (flying boat),Avión de patrulla marítima,Avión
Martin Mariner,Avión de patrulla marítima,Avión
Martin PBM Mariner,Avión de patrulla marítima,Avión
Martin PBM-3S  / Martin PBM-5,Avión comercial de pasajeros,Avión
Mc Donnell Dougals DC-9,Helicóptero de trasnporte y pasajeros,Helicóptero
Mc Donnell Douglas 369FF Rotocraft,Avión comercial de pasajeros,Avión
Mc Donnell Douglas MD-81,Avión comercial de pasajeros,Avión
Mc Donnell Douglas MD-83,Avión militar,Avión
McDonnel F-4E Phantom II,Avión comercial de pasajeros,Avión
McDonnell DC-9-32,Helicóptero de trasnporte y pasajeros,Helicóptero
McDonnell Douglas 369D,Avión militar,Avión
McDonnell Douglas C-17A Globemaster III,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-10-10,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-10-30,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-10-30CF,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8 Super 61,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8 Super 62,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8 Super 63PF,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8-12,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8-21,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8-33,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8-43,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8-51,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8-52,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8-53,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8-54F37,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8-55F,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8-61,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8-61F,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8-62,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8-62H,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8-63,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8-63AF,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8-63CF,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8-63F,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8-71F,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8-Super 63CF,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8F-54F,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-8F-55,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-9 and Cessna 150F,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-9-14,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-9-15,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-9-15RC,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-9-30,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-9-31,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-9-31 / F4-B,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-9-31 / Trident 3B,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-9-32,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-9-33CF,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-9-33RC,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-9-51,Avión comercial de pasajeros,Avión
McDonnell Douglas DC-9-82 / Cessna 441,Avión comercial de pasajeros,Avión
McDonnell Douglas MD-11,Avión de carga,Avión
McDonnell Douglas MD-11F,Avión comercial de pasajeros,Avión
McDonnell Douglas MD-81,Avión comercial de pasajeros,Avión
McDonnell Douglas MD-82,Avión comercial de pasajeros,Avión
McDonnell Douglas MD-83,Avión comercial de pasajeros,Avión
McDonnell Douglas MD-88,Avión comercial de pasajeros,Avión
McDonnell Douglas MD-90-30,Avión comercial de pasajeros,Avión
McDonnell-Douglas MD-82,Avión ligero,Avión
Messerschmitt M-20,Avión ligero,Avión
Messerschmitt M-20B,Helicóptero militar,Helicóptero
Mi 17V-5,Helicóptero militar,Helicóptero
Mi 8,Helicóptero militar,Helicóptero
Mi-17,Helicóptero militar,Helicóptero
Mi-17 Helicopter,Helicóptero militar,Helicóptero
Mi-35,Helicóptero militar,Helicóptero
Mi-6,Helicóptero militar,Helicóptero
Mi-8,Helicóptero militar,Helicóptero
Mi-8 helicopter,Helicóptero militar,Helicóptero
Mi-8MTV-1,Avión militar,Avión
MiG-15 UTI,Avión militar,Avión
MiG-23,Helicóptero militar,Helicóptero
Mil MI-8T,Helicóptero militar,Helicóptero
Mil Mi 8T (helicopter),Helicóptero militar,Helicóptero
Mil Mi-17,Helicóptero militar,Helicóptero
Mil Mi-17 ( helicopter),Helicóptero militar,Helicóptero
Mil Mi-17 (helicopter),Helicóptero militar,Helicóptero
Mil Mi-171,Helicóptero militar,Helicóptero
Mil Mi-172,Helicóptero militar,Helicóptero
Mil Mi-18 Helicopter,Helicóptero militar,Helicóptero
Mil Mi-26,Helicóptero militar,Helicóptero
Mil Mi-4 / Mil Mi-4,Helicóptero militar,Helicóptero
Mil Mi-8,Helicóptero militar,Helicóptero
Mil Mi-8 (helicopter),Helicóptero militar,Helicóptero
Mil Mi-8 / Mil Mi-8,Helicóptero militar,Helicóptero
Mil Mi-8MTV (helicopter),Helicóptero militar,Helicóptero
Mil Mi-8MTV-1,Helicóptero militar,Helicóptero
Mil Mi-8T,Helicóptero militar,Helicóptero
Mil Mi-8T (helicopter),Helicóptero militar,Helicóptero
Mil- Mi-17B-5,Avión militar,Avión
Military - U.S. Air Force,Avión de transporte y pasajeros,Avión
Mitsubishi MC-20,Avión de transporte y pasajeros,Avión
Mitsubishi MU 2B 35,Avión de transporte y pasajeros,Avión
Mitsubishi MU-2B,Avión de transporte y pasajeros,Avión
Mitsubishi MU-2B 60 Marquise,Avión de transporte y pasajeros,Avión
Mitsubishi MU-2B-60,Avión comercial de pasajeros,Avión
NAMC YS-11A-202,Avión comercial de pasajeros,Avión
NAMC YS-11A-211,Avión comercial de pasajeros,Avión
NAMC YS-11A-219,Avión comercial de pasajeros,Avión
NAMC YS-11A-227,Avión de carga,Avión
NAMC YS-11A-300F,Avión comercial de pasajeros,Avión
NAMC YS-11A-500,Avión comercial de pasajeros,Avión
NAMC-YS-11-111,Avión militar,Avión
Nakajima A-T2,Avión de transporte y pasajeros,Avión
Noorduyn Norseman,Avión militar,Avión
Nord 2501 Noratlas,Avión de transporte y pasajeros,Avión
Nord 262,Avión de transporte y pasajeros,Avión
Nord 262A-34,Avión de transporte y pasajeros,Avión
Nord 262A-44,Avión de transporte y pasajeros,Avión
Nord 262C-66,Avión de transporte y pasajeros,Avión
Nord 262E,Avión de transporte y pasajeros,Avión
Norman BN-2A-6,Avión militar,Avión
North American B-25D bomber,Avión militar,Avión
North American CT-39A Sabreline,Avión militar,Avión
North American F-100D-25NA,Avión militar,Avión
North American P-51D-15-NA Mustang,Avión de transporte y correo,Avión
Northrop Alpha 3,Avión de transporte y correo,Avión
Northrop Delta,Avión militar,Avión
Northrop F-5A,Avión de transporte y pasajeros,Avión
OFM F-VIIb/3m,Avión ligero,Avión
PA-34-200 Seneca I,Avión ligero,Avión
PAC 750XL,Avión de patrulla marítima,Avión
PBY Catalina,Avión de patrulla marítima,Avión
PBY4-2 Privateer / PB4Y-2 Privateer,Avión de transporte y carga,Avión
PZL-Mielec AN-2R,Avión de transporte y carga,Avión
PZL-Mielec M28,Avión ligero,Avión
Pacific Aerospace,Avión de transporte y pasajeros,Avión
Piaggio PD-808,Avión de transporte y pasajeros,Avión
Pilatus Britten Norman BN-2A-27 Islander,Avión de transporte y pasajeros,Avión
Pilatus Britten-Norman BN-2A-21 Islander,Avión de transporte y pasajeros,Avión
Pilatus Britten-Norman BN-2B-27 Islander,Avión de transporte y pasajeros,Avión
Pilatus PC-12/45,Avión de transporte y pasajeros,Avión
Pilatus PC-12/47,Avión de transporte y carga,Avión
Pilatus PC-6 Turbo Porter,Avión de transporte y carga,Avión
Pilatus PC-6 Turbo Porter / Cessna 206,Avión de transporte y carga,Avión
Pilatus PC-6/B2-H2 Turbo-Porter,Avión de transporte y carga,Avión
Pilatus PC6CH2,Avión de transporte y carga,Avión
Pilatus Pc-6C,Avión de transporte y pasajeros,Avión
Pilatus-Britten Norman BN-2A-27 Islander,Avión de transporte y pasajeros,Avión
Pilatus-Britten Norman BN-2B-26 Islander,Avión de transporte y pasajeros,Avión
Pilatus-Britten Norman BN-2B-27 Islander,Avión ligero,Avión
Pilgrim 100B,Avión de transporte y pasajeros,Avión
Piper Aerostar 601 / Bell 412SP,Avión de transporte y pasajeros,Avión
Piper Navajo PA-31/ Piper Seminole PA-44,Avión de transporte y pasajeros,Avión
Piper PA-23,Avión de transporte y pasajeros,Avión
Piper PA-23-250 Aztec,Avión ligero,Avión
Piper PA-24-250 Comanche,Avión ligero,Avión
Piper PA-28-180,Avión de transporte y pasajeros,Avión
Piper PA-31,Avión de transporte y pasajeros,Avión
Piper PA-31-310 Navajo,Avión de transporte y pasajeros,Avión
Piper PA-31-325 Navajo,Avión de transporte y pasajeros,Avión
Piper PA-31-350 Chieftain,Avión de transporte y pasajeros,Avión
Piper PA-31-350 Navajo,Avión de transporte y pasajeros,Avión
Piper PA-31-350 Navajo Chieftain,Avión ligero,Avión
Piper PA-32,Avión ligero,Avión
Piper PA-32-R301 Saratoga II HP,Avión de transporte y pasajeros,Avión
Piper PA-42 Cheyenne,Avión de transporte y pasajeros,Avión
Piper PA31-310,Avión de transporte y correo,Avión
Pitcairn PA-6 Mailwing,Avión de transporte y correo,Avión
Pitcairns PA-6,Avión de transporte y correo,Avión
Potez 29,Avión de transporte y pasajeros,Avión
Potez 621,Avión de transporte y correo,Avión
Potez IX,Avión de transporte y carga,Avión
R4D-5,Avión de transporte y pasajeros,Avión
Reims Aviation 406,Helicóptero de trasnporte y pasajeros,Helicóptero
Robertson R44 helicopter,Avión de transporte y correo,Avión
Rochrbach Roland,Avión de transporte y pasajeros,Avión
Rockwell 500S Shrike Commander,Avión militar,Avión
Rockwell CT-39A Sabreliner,Avión de transporte y pasajeros,Avión
Rockwell Gulfstream Jetprop 840,Avión de transporte y pasajeros,Avión
Rockwell International 690B,Avión de transporte y pasajeros,Avión
Rockwell Sabreliner 60,Avión de transporte y pasajeros,Avión
Rockwell Sabreliner 65,Avión de transporte y correo,Avión
Rohrbach Roland,Dirigible de transporte y pasajeros,Dirigible
Royal Airship Works R-101,Dirigible de transporte y pasajeros,Dirigible
Royal Airship Works ZR-2 (airship),Avión experimental,Avión
Rutan Long EZ (experimental aircraft),Avión ligero,Avión
Ryan M-1,Avión de transporte y pasajeros,Avión
SNCASE Languedoc,Avión de transporte y pasajeros,Avión
SNCASE SE.2010 Armagnac,Helicóptero de trasnporte y cargas,Helicóptero
SNIAS SA330J,Avión militar,Avión
SPCA Meteore 63,Avión de transporte y pasajeros,Avión
Saab 340A,Avión de transporte y pasajeros,Avión
Saab 340B,Avión de transporte y pasajeros,Avión
Saab Scandia,Avión de transporte y pasajeros,Avión
Saab Scandia / Cessna 310,Avión de transporte y pasajeros,Avión
Saab Scandia 90A-1,Avión de transporte y pasajeros,Avión
Saab340B,Avión de transporte y pasajeros,Avión
Sabca F-VII,Avión de transporte y pasajeros,Avión
Sabca S-73,Avión militar,Avión
Salmson 2-A-2,Avión de transporte y pasajeros,Avión
Saro A-19 Cloud,Avión de transporte y pasajeros,Avión
Savbia-Marchetti  S-73P,Avión de transporte y pasajeros,Avión
Savoia Marchetti S-66,Avión de transporte y pasajeros,Avión
Savoia Marchetti S55,Avión de transporte y pasajeros,Avión
Savoia Marchetti SM 73,Avión de transporte y pasajeros,Avión
Savoia Marchetti SM-95,Avión de transporte y pasajeros,Avión
Savoia-Marchetti S-66,Avión de transporte y pasajeros,Avión
Savoia-Marchetti SM-75,Avión de transporte y pasajeros,Avión
Savoia-Marchetti SM-83,Avión de transporte y pasajeros,Avión
Savoia-Marchetti SM-95,Avión de transporte y pasajeros,Avión
Savoia-Marchetti SM.75,Avión de transporte y pasajeros,Avión
Savoia-Marchetti SM73,Avión de transporte y pasajeros,Avión
Savoia-Marchetti SM83,Dirigible de transporte y pasajeros,Dirigible
Schutte-Lanz S-L-10 (airship),Dirigible de transporte y pasajeros,Dirigible
Schutte-Lanz S-L-9 (airship),Avión militar,Avión
Sepecat Jaguar A,Avión de transporte y carga,Avión
Shaanxi Y-8D,Avión de transporte y carga,Avión
Shaanxi Y-8F-200W,Avión de transporte y carga,Avión
Shaanxi Y-8GX-3,Avión de transporte y carga,Avión
Shaanxi Yunshuji Y-8/Yunshuji Y-8,Avión de patrulla marítima,Avión
Shin Meiwa PS-1,Avión de transporte y pasajeros,Avión
Short  S-23 (flying boat),Avión de transporte y pasajeros,Avión
Short  S-29 Stirling V,Avión de transporte y pasajeros,Avión
Short 360,Avión de transporte y pasajeros,Avión
Short Calcutta (flying boat),Avión de transporte y pasajeros,Avión
Short Empire Flying Boat,Avión de transporte y pasajeros,Avión
Short Empire flying boat,Avión de transporte y pasajeros,Avión
Short S-17 Kent,Avión de transporte y pasajeros,Avión
Short S-23,Avión de transporte y pasajeros,Avión
Short S-23 (flying boat),Avión de transporte y pasajeros,Avión
Short S-23 Empire Flying Boat,Avión de patrulla marítima,Avión
Short S-25 Sunderland 3 (flying boat),Avión de patrulla marítima,Avión
Short S-26 (flying boat),Avión de patrulla marítima,Avión
Short S-30 (flying boat),Avión de transporte y pasajeros,Avión
Short S-8 Calcutta flying boat,Avión de transporte y pasajeros,Avión
Short S.23 Empire Flying Boat,Avión de transporte y pasajeros,Avión
Short S23 â€˜Câ€™ Class flying boat,Avión de transporte y carga,Avión
Short SC-7 Skyvan Variant,Avión de transporte y carga,Avión
Short SC7- Skyvan,Avión de transporte y pasajeros,Avión
Short Sandringham (flying boat),Avión de transporte y pasajeros,Avión
Short Sandringham 2 (flying boat),Avión de transporte y pasajeros,Avión
Short Sandringham 5 (flying boat),Avión de transporte y pasajeros,Avión
Short Sandringham 6 (flying boat),Avión de transporte y pasajeros,Avión
Short Solent 3 (flying boat),Avión militar,Avión
Short Stirling,Avión militar,Avión
Short Stirling IV,Avión de patrulla marítima,Avión
Short Sunderland,Avión de patrulla marítima,Avión
Short Sunderland 3,Avión de patrulla marítima,Avión
Short Sunderland 9 (flying boat),Avión de transporte y pasajeros,Avión
Shorts 300-200,Avión de transporte y pasajeros,Avión
Shorts 330-200,Avión de transporte y pasajeros,Avión
Shorts 360,Avión de transporte y pasajeros,Avión
Shorts 360-100,Avión de transporte y pasajeros,Avión
Shorts 360-100 /Shorts 360-300,Avión de transporte y pasajeros,Avión
Shorts 360-300,Avión de transporte y carga,Avión
Shorts SC-7 Skyvan,Avión de transporte y carga,Avión
Shorts SC-7 Skyvan 3-100,Avión de transporte y carga,Avión
Shorts SC-7 Skyvan 3-200,Avión de transporte y carga,Avión
Shorts SC-7 Skyvan 3-300,Avión de transporte y carga,Avión
Shorts SC-7 Skyvan 3A-200,Avión de transporte y carga,Avión
Shorts SC-7 Skyvan 3M Variant 100,Avión de transporte y carga,Avión
Shorts SC.7 Skyvan 3-100,Avión de transporte y pasajeros,Avión
Siebel Si-204,Helicóptero de trasnporte y cargas,Helicóptero
Sikorksky CH-53 (helicopter),Helicóptero de transporte y pasajeros,Helicóptero
Sikorsky  S 76 A,Helicóptero de trasnporte y cargas,Helicóptero
Sikorsky CH-53A (helicopter),Helicóptero de trasnporte y cargas,Helicóptero
Sikorsky CH-53C (helicopter),Helicóptero de trasnporte y cargas,Helicóptero
Sikorsky CH-53D,Helicóptero de trasnporte y cargas,Helicóptero
Sikorsky CH-53D (helicopter),Helicóptero de trasnporte y cargas,Helicóptero
Sikorsky CH53D / Sikorsky CH53D,Helicóptero de transporte y pasajeros,Helicóptero
Sikorsky S 76,Avión de transporte y pasajeros,Avión
Sikorsky S-25,Avión de transporte y pasajeros,Avión
Sikorsky S-38 Flying Boat,Avión de transporte y pasajeros,Avión
Sikorsky S-38B,Avión de transporte y pasajeros,Avión
Sikorsky S-38B (flying boat),Avión de transporte y pasajeros,Avión
Sikorsky S-38BB,Avión de transporte y pasajeros,Avión
Sikorsky S-42 (flying boat),Avión de transporte y pasajeros,Avión
Sikorsky S-42A  Flying Boat,Avión de transporte y pasajeros,Avión
Sikorsky S-42B (flying boat),Avión de transporte y pasajeros,Avión
Sikorsky S-43,Avión de transporte y pasajeros,Avión
Sikorsky S-43 (flying boat),Avión de transporte y pasajeros,Avión
Sikorsky S-43B (flying boat),Helicóptero de trasnporte y cargas,Helicóptero
Sikorsky S-58C helicopter,Helicóptero de trasnporte y cargas,Helicóptero
Sikorsky S-58ET,Helicóptero de trasnporte y cargas,Helicóptero
Sikorsky S-58ET (helilcopter),Helicóptero de trasnporte y cargas,Helicóptero
Sikorsky S-58T,Helicóptero de transporte y pasajeros,Helicóptero
Sikorsky S-61L helicopter,Helicóptero de transporte y pasajeros,Helicóptero
Sikorsky S-61N,Helicóptero de transporte y pasajeros,Helicóptero
Sikorsky S-61N-II,Helicóptero de transporte y pasajeros,Helicóptero
Sikorsky S-62A,Helicóptero de trasnporte y cargas,Helicóptero
Sikorsky S-70 / Sikorsky S-70,Helicóptero de trasnporte y cargas,Helicóptero
Sikorsky S-70A-28,Helicóptero de transporte y pasajeros,Helicóptero
Sikorsky S-76,Helicóptero de transporte y pasajeros,Helicóptero
Sikorsky S-76A,Helicóptero de transporte y pasajeros,Helicóptero
Sikorsky S-76B helicopter,Helicóptero de transporte y pasajeros,Helicóptero
Sikorsky S-76C,Helicóptero de transporte y pasajeros,Helicóptero
Sikorsky S-76C++,Helicóptero de transporte y pasajeros,Helicóptero
Sikorsky S-92A,Avión de transporte y pasajeros,Avión
Sikorsky S43 (flying boat),Helicóptero de transporte y pasajeros,Helicóptero
Sikorsky S61-L,Helicóptero de transporte y pasajeros,Helicóptero
Sikorsky S61L,Helicóptero de trasnporte y cargas,Helicóptero
Sikorsky UH-60 / Sikorsky UH-60,Helicóptero de trasnporte y cargas,Helicóptero
Sikorsky UH-60 Black Hawk,Helicóptero de trasnporte y cargas,Helicóptero
Sikorsky UH-60A / Sikorsky UH-60A,Helicóptero de trasnporte y cargas,Helicóptero
Sikorsky UH-60L Black Hawk,Helicóptero de trasnporte y cargas,Helicóptero
Sikorsly S-58ET,Avión de transporte y pasajeros,Avión
Sirkorsky 44A (flying boat),Avión de transporte y pasajeros,Avión
Sirkorsky S-43 (flying boat),Avión de transporte y pasajeros,Avión
Socata TB1-10 Tobago,Helicóptero de trasnporte y cargas,Helicóptero
Soloy 12EJ3,Avión militar,Avión
Spad 33,Avión de transporte y pasajeros,Avión
Spartan Cruiser,Avión ligero,Avión
Stearman 4,Avión ligero,Avión
Stearman C-38,Avión ligero,Avión
Stearman C-3MB,Avión de transporte y correo,Avión
Stearman M-2 Speedmail,Avión de transporte y pasajeros,Avión
Stinson,Avión de transporte y pasajeros,Avión
Stinson  SM-6000B,Avión militar,Avión
Stinson AT-19,Avión de transporte y pasajeros,Avión
Stinson Model A,Avión de transporte y pasajeros,Avión
Stinson Reliant SR-9,Avión de transporte y pasajeros,Avión
Stinson SM 6000B,Avión de transporte y pasajeros,Avión
Stinson SM-2A,Avión de transporte y pasajeros,Avión
Stinson SM-6000-B,Avión de transporte y pasajeros,Avión
Stinson SM-6000B,Avión de transporte y pasajeros,Avión
Stinson SM6000B Tri-motor,Avión de transporte y pasajeros,Avión
Stinson SR-7 Reliant,Avión de transporte y pasajeros,Avión
Sud Aviation Caravelle 1,Avión de transporte y pasajeros,Avión
Sud Aviation Caravelle 10R,Avión de transporte y pasajeros,Avión
Sud Aviation Caravelle 3,Avión de transporte y pasajeros,Avión
Sud Aviation SE 210 Caravelle III,Avión de transporte y pasajeros,Avión
Sud Aviation SE-210 Caravelle,Avión de transporte y pasajeros,Avión
Sud Aviation SE-210 Caravelle 10R,Avión de transporte y pasajeros,Avión
Sud Aviation SE-210 Caravelle 6N,Avión de transporte y pasajeros,Avión
Sud Aviation SE-210 Caravelle III,Avión de transporte y pasajeros,Avión
Sud Aviation SE-210 Caravelle VIN,Avión de transporte y pasajeros,Avión
Sud Aviation SE-210 Caravelle VIR,Avión de transporte y pasajeros,Avión
Sud-Aviation  Caravelle VI-N,Avión de transporte y pasajeros,Avión
Sud-Aviation Caravelle 10-R,Avión de transporte y pasajeros,Avión
Sud-Aviation Caravelle 3,Avión de transporte y pasajeros,Avión
Sud-Aviation Caravelle III,Avión de transporte y pasajeros,Avión
Sud-Aviation Caravelle VI-N,Avión de transporte y pasajeros,Avión
Sud-Aviation Caravelle VI-R,Avión de transporte y pasajeros,Avión
Sud-Aviation SE210 Caravelle,Avión militar,Avión
Sukhoi Su-27,Avión de transporte y pasajeros,Avión
Sukhoi Superjet 100-95,Avión de transporte y pasajeros,Avión
Sukhoi Superjet-100-95B,Dirigible experimental,Dirigible
Super Zeppelin (airship),Avión de transporte y pasajeros,Avión
Supermarine Stranraer (flying boat),Avión de transporte y pasajeros,Avión
"SwallowSwallow",Avión de transporte y pasajeros,Avión
Swear. SA-227CC Metro 23/Piper Navajo,Avión de transporte y pasajeros,Avión
Swearingen 226TC Metro II,Avión de transporte y pasajeros,Avión
Swearingen SA-226AT Merlin IV,Avión de transporte y pasajeros,Avión
Swearingen SA-226T Metro II,Avión de transporte y pasajeros,Avión
Swearingen SA-226TC / Mooney M-20C,Avión de transporte y pasajeros,Avión
Swearingen SA-226TC Metro II,Avión de transporte y pasajeros,Avión
Swearingen SA-226TC Metroliner II,Avión de transporte y pasajeros,Avión
Swearingen SA-227AC Metro III,Avión de transporte y pasajeros,Avión
Swearingen SA-227BC Metro III,Avión de transporte y pasajeros,Avión
Swearingen SA-227BC Metroliner III,Avión de transporte y pasajeros,Avión
Swearingen SA-26TC Metro II,Avión de transporte y pasajeros,Avión
